job_title,company_name,time_posted,location
Python Developer,eTeam,1 week ago,"Federal Territory of Kuala Lumpur, Malaysia"
Arabic (Saudi) AI Training,Outlier,2 days ago,Malaysia
Senior Graphic Designer,ZUS Coffee,1 month ago,"Subang Jaya, Selangor, Malaysia"
Product Strategy Lead,ADA,2 weeks ago,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Data Engineer,Ant International,2 weeks ago,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Fullstack Developer,Aarorn Technologies Inc,2 weeks ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
AI/RAG Application Developer - Azure,Ascendion,1 week ago,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Staff Machine Learning Engineer,bp,4 days ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Senior / Principal Data Scientist,PayNet (Payments Network Malaysia),6 days ago,"Federal Territory of Kuala Lumpur, Malaysia"
Data Analyst (Finance),Agilent Technologies,3 weeks ago,"Bayan Lepas, Penang, Malaysia"
Senior Product Manager - AI Products,CoinMarketCap,2 months ago,"Penang, Malaysia"
Senior Robotics Engineer,Meraque MY,1 day ago,"Puchong, Selangor, Malaysia"
"Senior Manager, Data & AI Strategy",Prudential Services Asia,1 month ago,"Kuala Lumpur City, Federal Territory of Kuala Lumpur, Malaysia"
GTM Engineer (Full-Stack),Naptha AI,4 weeks ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
PPA Project Manager,Nestlé,2 weeks ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Senior AI Developer,S&P Global,3 days ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Voice Acting for AI Training - Malay,Outlier,2 days ago,Malaysia
"Product Manager, Entry",Keysight Internet Infrastructure,3 days ago,"Penang, Penang, Malaysia"
Lead Data Scientist – Global Reporting & Analysis,Huntsman Corporation,1 day ago,"Petaling Jaya, Selangor, Malaysia"
,,,
Software Application Engineer,ViTrox Corporation Berhad,6 days ago,"Penang, Malaysia"
Investment Research Intern,Khaveen Investments,2 days ago,Greater Kuala Lumpur
Internship - IT Policy & Cyber Security (Data & Automation),U Mobile,2 weeks ago,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Automation Engineer,UST Malaysia,5 days ago,"Penang, Malaysia"
,,,
Product Manager,AI Rudder,1 week ago,Greater Kuala Lumpur
Growth Manager (Remote),Smile,1 month ago,Malaysia
